,,,Cambodia,,,Cameroon,,,Côte d'Ivoire,,,Mozambique,,,Sierra Leone,,,Uganda,,,Zambia,,,,,,,,,,,
COSTS,DESCRIPTION,NAME,Low,High,,Low,High,,Low,High,,Low,High,,Low,High,,Low,High,,Low,High,,,,,,,,,,
Screening,"SOC, at DH: non-systematic initial assessment",c.d.soc.dh.nsassess,0.19,0.21,,0.19,0.36,,0.26,0.47,,0.07,0.24,,0.07,0.24,,0.28,0.33,,0.21,0.27,,,,,,,,,,
,"SOC, at PHC: non-systematic initial assessment",c.d.soc.phc.nsassess,0.19,0.21,,0.19,0.36,,0.26,0.47,,0.07,0.24,,0.07,0.24,,0.28,0.33,,0.21,0.27,,,,,,,,,,
,"IDH, at DH: systematic initial screening assessment",c.d.idh.dh.sassess,0.19,0.21,,0.19,0.36,,0.26,0.47,,0.07,0.24,,0.07,0.24,,0.28,0.33,,0.21,0.27,,,,,,,,,,
,"IDH, at PHC: systematic initial screening assessment",c.d.idh.phc.sassess,0.19,0.21,,0.19,0.36,,0.26,0.47,,0.07,0.24,,0.07,0.24,,0.28,0.33,,0.21,0.27,,,,,,,,,,
,"IPH, at DH: systematic initial screening assessment",c.d.iph.dh.sassess,0.19,0.21,,0.19,0.36,,0.26,0.47,,0.07,0.24,,0.07,0.24,,0.28,0.33,,0.21,0.27,,,,,,,,,,
,"IPH, at PHC: systematic initial screening assessment",c.d.iph.phc.sassess,0.19,0.21,,0.19,0.36,,0.26,0.47,,0.07,0.24,,0.07,0.24,,0.28,0.33,,0.21,0.27,,,,,,,,,,
,"IPD, at DH: systematic initial screening assessment",c.d.ipd.dh.sassess,0.19,0.21,,0.19,0.36,,0.26,0.47,,0.07,0.24,,0.07,0.24,,0.28,0.33,,0.21,0.27,,,,,,,,,,
,"IPD, at PHC: systematic initial screening assessment",c.d.ipd.phc.sassess,0.19,0.21,,0.19,0.36,,0.26,0.47,,0.07,0.24,,0.07,0.24,,0.28,0.33,,0.21,0.27,,,,,,,,,,
Reassessment,"IDH, at DH: systematic clinical reassessment after 7 days",c.d.idh.dh.sreassess7,0.74,1.00,,0.87,1.64,,1.57,2.54,,0.67,1.52,,1.02,3.00,,0.92,1.68,,1.70,2.32,,,,,,,,,,
,"IPH, at DH: systematic clinical reassessment after 7 days",c.d.iph.dh.sreassess7,0.74,1.00,,0.87,1.64,,1.57,2.54,,0.67,1.52,,1.02,3.00,,0.92,1.68,,1.70,2.32,,,,,,,,,,
,"IPH, at PHC: systematic clinical reassessment after 7 days",c.d.iph.phc.sreassess7,0.81,0.90,,0.79,1.53,,1.10,1.97,,0.30,1.02,,0.30,1.02,,1.17,1.39,,0.90,1.16,,,,,,,,,,
,"IPD, at DH: systematic clinical reassessment after 7 days",c.d.ipd.dh.sreassess7,0.74,1.00,,0.87,1.64,,1.57,2.54,,0.67,1.52,,1.02,3.00,,0.92,1.68,,1.70,2.32,,,,,,,,,,
Exams & tests,"IPH, at DH: CXR only",c.d.iph.dh.CXR,0.51,0.83,,0.64,1.10,,1.20,1.91,,0.55,1.18,,0.89,2.36,,0.83,1.69,,1.39,2.02,,,,,,,,,,
,"IPH, at PHC: clinical exam only",c.d.ipd.phc.exam,0.81,0.90,,0.79,1.53,,1.10,1.97,,0.30,1.02,,0.30,1.02,,1.17,1.39,,0.90,1.16,,,,,,,,,,
,"SOC, at PHC: clinical exam + smear [for some]",c.d.soc.phc.exam,0.82,0.91,,0.79,1.55,,1.11,1.99,,0.31,1.03,,0.30,1.03,,1.18,1.40,,0.92,1.18,,,,,,,,,,
,"SOC, at DH: clinical exam + smear [for some]",c.d.soc.dh.exam,0.75,1.01,,0.87,1.65,,1.11,1.99,,0.31,1.03,,0.30,1.02,,1.18,1.39,,0.91,1.18,,,,,,,,,,
,"SOC, at DH: clinical exam + CXR [for some] + smear [for some]",c.d.soc.dh.examCXR,0.93,1.30,,1.10,2.04,,1.53,2.66,,0.50,1.44,,0.62,1.85,,1.47,1.99,,1.40,1.88,,,,,,,,,,
